sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid,sex-race
0,33,25 - 45,0,0,0,0,1,F,Neglect Child / Bodily Harm,0,Female-African-American
1,44,25 - 45,1,0,0,0,0,M,Susp Drivers Lic 1st Offense,0,Male-Caucasian
1,51,Greater than 45,0,0,0,0,1,F,Possession Burglary Tools,0,Male-Hispanic
1,21,Less than 25,0,0,0,0,0,F,"Deliver 3,4 Methylenediox",0,Male-Hispanic
1,26,25 - 45,1,0,0,0,0,F,Poss Contr Subst W/o Prescript,0,Male-Caucasian
1,22,Less than 25,0,0,3,0,3,F,Possession of Benzylpiperazine,0,Male-African-American
1,29,25 - 45,0,0,0,0,0,M,Battery,0,Male-African-American
1,44,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,41,25 - 45,0,0,0,0,2,F,arrest case no charge,0,Male-African-American
0,28,25 - 45,0,0,0,1,4,F,"Poss3,4 Methylenedioxymethcath",0,Female-African-American
1,31,25 - 45,1,0,0,0,7,M,Exposes Culpable Negligence,0,Male-Caucasian
1,20,Less than 25,0,0,0,2,0,F,Tampering With Physical Evidence,0,Male-African-American
1,36,25 - 45,0,0,0,0,0,F,Driving While License Revoked,0,Male-African-American
1,23,Less than 25,0,1,0,0,1,M,Battery,0,Male-African-American
0,59,Greater than 45,1,0,0,0,1,F,Grand Theft in the 1st Degree,0,Female-Caucasian
1,37,25 - 45,1,0,0,0,0,F,Cruelty Toward Child,1,Male-Caucasian
1,31,25 - 45,0,0,0,0,0,F,Grand Theft (Motor Vehicle),0,Male-African-American
0,38,25 - 45,0,0,0,0,14,F,Possession of Cocaine,1,Female-African-American
1,27,25 - 45,0,0,0,0,3,F,Grand Theft in the 3rd Degree,1,Male-African-American
0,42,25 - 45,0,0,0,0,2,F,Burglary With Assault/battery,0,Female-African-American
1,22,Less than 25,0,0,0,0,3,F,Uttering a Forged Instrument,1,Male-African-American
1,21,Less than 25,0,0,0,0,0,F,Att Burgl Unoccupied Dwel,0,Male-Other
1,52,Greater than 45,1,0,0,0,2,M,Tresspass Struct/Conveyance,0,Male-Caucasian
1,29,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
0,37,25 - 45,0,0,0,0,0,M,Prostitution/Lewd Act Assignation,0,Female-African-American
1,34,25 - 45,1,0,0,1,0,F,Aggravated Assault w/Firearm,0,Male-Caucasian
1,53,Greater than 45,0,0,0,0,0,M,Battery,1,Male-African-American
1,35,25 - 45,0,0,0,0,0,M,Reckless Driving,0,Male-Hispanic
1,28,25 - 45,1,0,0,0,1,F,Aggravated Assault W/dead Weap,0,Male-Caucasian
1,21,Less than 25,0,0,0,0,1,F,Grand Theft Dwell Property,0,Male-African-American
1,22,Less than 25,0,0,0,0,1,F,Possession of Cannabis,0,Male-African-American
1,42,25 - 45,1,0,0,0,1,M,Battery,1,Male-Caucasian
1,54,Greater than 45,0,0,0,0,9,M,arrest case no charge,0,Male-African-American
1,39,25 - 45,0,0,0,0,1,F,"Poss3,4 Methylenedioxymethcath",1,Male-Other
1,41,25 - 45,0,0,0,0,0,M,Assault,0,Male-African-American
1,43,25 - 45,1,0,0,0,1,F,Felony Battery (Dom Strang),1,Male-Caucasian
1,22,Less than 25,0,0,0,0,0,M,Susp Drivers Lic 1st Offense,1,Male-African-American
0,42,25 - 45,0,0,0,0,2,M,arrest case no charge,0,Female-African-American
1,49,Greater than 45,0,0,0,0,4,M,Battery,0,Male-African-American
1,52,Greater than 45,1,0,0,0,1,F,Felony Driving While Lic Suspd,0,Male-Caucasian
0,60,Greater than 45,1,0,0,0,2,F,Aggrav Battery w/Deadly Weapon,0,Female-Caucasian
0,23,Less than 25,0,0,0,0,0,M,Battery,0,Female-African-American
1,30,25 - 45,0,0,0,0,2,M,Driving License Suspended,0,Male-African-American
1,32,25 - 45,0,0,0,0,2,F,Driving While License Revoked,1,Male-African-American
1,22,Less than 25,0,0,0,0,3,F,arrest case no charge,1,Male-African-American
1,44,25 - 45,0,0,0,0,2,F,Felony Driving While Lic Suspd,0,Male-African-American
1,32,25 - 45,1,0,0,0,3,F,Felony Battery w/Prior Convict,0,Male-Caucasian
0,27,25 - 45,0,0,0,0,1,M,Battery,0,Female-African-American
1,61,Greater than 45,1,0,0,0,3,M,Battery,1,Male-Caucasian
1,69,Greater than 45,0,0,0,0,3,M,Battery,0,Male-African-American
1,51,Greater than 45,0,0,0,0,2,F,Grand Theft in the 3rd Degree,0,Male-Other
0,21,Less than 25,1,0,0,0,1,F,Grand Theft in the 3rd Degree,0,Female-Caucasian
1,24,Less than 25,0,0,5,0,12,M,arrest case no charge,1,Male-African-American
1,57,Greater than 45,0,0,0,0,3,F,Driving While License Revoked,0,Male-Hispanic
1,30,25 - 45,1,0,0,0,6,F,arrest case no charge,0,Male-Caucasian
1,24,Less than 25,0,0,0,1,4,F,Grand Theft in the 3rd Degree,0,Male-African-American
0,30,25 - 45,1,0,0,0,7,M,arrest case no charge,0,Female-Caucasian
0,56,Greater than 45,1,0,0,0,1,F,Felony DUI (level 3),0,Female-Caucasian
1,21,Less than 25,0,0,0,0,1,F,arrest case no charge,0,Male-African-American
1,31,25 - 45,0,3,0,0,6,F,Resist Officer w/Violence,1,Male-African-American
0,23,Less than 25,0,0,0,0,1,F,arrest case no charge,0,Female-African-American
1,42,25 - 45,0,0,0,0,1,M,DUI Level 0.15 Or Minor In Veh,0,Male-Other
1,64,Greater than 45,1,0,0,0,0,F,Sex Offender Fail Comply W/Law,0,Male-Caucasian
0,21,Less than 25,1,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Female-Caucasian
1,36,25 - 45,0,0,0,0,5,F,arrest case no charge,0,Male-African-American
0,50,Greater than 45,0,0,0,0,1,F,arrest case no charge,0,Female-African-American
1,28,25 - 45,0,0,0,0,2,F,"Poss3,4 Methylenedioxymethcath",0,Male-Native American
0,25,25 - 45,1,0,0,0,5,F,Possession Of Alprazolam,0,Female-Caucasian
1,54,Greater than 45,1,0,0,0,14,M,Battery,1,Male-Caucasian
1,37,25 - 45,0,0,0,0,6,M,Battery,0,Male-Other
1,25,25 - 45,1,0,0,1,5,M,arrest case no charge,1,Male-Caucasian
1,35,25 - 45,0,0,0,0,2,M,Assault,0,Male-African-American
1,25,25 - 45,0,0,0,0,8,M,Battery,1,Male-African-American
1,33,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,29,25 - 45,0,0,0,0,7,F,arrest case no charge,0,Male-African-American
1,27,25 - 45,0,0,0,0,2,M,Possess Cannabis/20 Grams Or Less,0,Male-Hispanic
0,20,Less than 25,1,0,2,1,3,M,Battery,1,Female-Caucasian
1,72,Greater than 45,1,0,0,0,1,M,Driving Under The Influence,0,Male-Caucasian
1,38,25 - 45,1,0,0,0,0,F,Possession of Cocaine,0,Male-Caucasian
1,40,25 - 45,1,0,0,0,0,F,Possession of Cocaine,0,Male-Caucasian
1,23,Less than 25,1,0,0,0,0,F,Burglary Conveyance Unoccup,0,Male-Caucasian
1,21,Less than 25,1,0,0,0,5,F,Poss Pyrrolidinovalerophenone,1,Male-Caucasian
0,41,25 - 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,56,Greater than 45,1,0,0,0,1,M,Battery,0,Male-Caucasian
1,55,Greater than 45,1,0,0,0,11,M,arrest case no charge,0,Male-Caucasian
1,28,25 - 45,0,0,0,0,3,F,"Poss3,4 Methylenedioxymethcath",0,Male-African-American
1,31,25 - 45,0,0,0,0,2,F,arrest case no charge,1,Male-Other
1,53,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,33,25 - 45,0,0,0,0,7,M,Viol Prot Injunc Repeat Viol,1,Male-African-American
1,34,25 - 45,0,0,0,0,15,F,arrest case no charge,0,Male-African-American
1,32,25 - 45,0,0,0,0,12,F,Possession of Cocaine,0,Male-African-American
1,24,Less than 25,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Male-Asian
1,56,Greater than 45,1,0,0,0,0,F,Felony Battery (Dom Strang),0,Male-Caucasian
1,36,25 - 45,0,0,0,0,1,F,Aggravated Battery,1,Male-Hispanic
1,28,25 - 45,0,0,0,0,4,F,Burglary Dwelling Assault/Batt,1,Male-African-American
1,59,Greater than 45,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Male-Hispanic
0,29,25 - 45,0,0,0,0,11,F,Possession of Cocaine,0,Female-African-American
1,72,Greater than 45,1,0,0,0,3,F,arrest case no charge,0,Male-Caucasian
1,45,Greater than 45,0,0,0,0,3,F,Att Burgl Unoccupied Dwel,0,Male-African-American
1,45,Greater than 45,0,0,0,0,0,M,Battery,0,Male-African-American
1,47,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,41,25 - 45,1,0,0,0,5,F,Felony Driving While Lic Suspd,0,Male-Caucasian
1,49,Greater than 45,1,0,0,0,1,F,Resist Officer w/Violence,0,Male-Caucasian
1,26,25 - 45,0,0,0,0,0,M,Battery,0,Male-Hispanic
0,28,25 - 45,0,0,0,0,0,M,Battery,0,Female-African-American
1,33,25 - 45,1,0,0,0,2,M,Driving License Suspended,0,Male-Caucasian
1,46,Greater than 45,0,0,0,0,0,F,Driving While License Revoked,0,Male-African-American
1,21,Less than 25,0,0,0,0,0,M,Disrupting School Function,0,Male-African-American
1,29,25 - 45,0,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,0,Male-Other
1,21,Less than 25,1,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Male-Caucasian
1,26,25 - 45,0,0,0,0,0,F,Burglary Structure Unoccup,0,Male-Other
1,34,25 - 45,0,0,0,0,3,M,arrest case no charge,0,Male-African-American
1,22,Less than 25,0,0,0,0,0,F,Burglary Unoccupied Dwelling,0,Male-African-American
0,57,Greater than 45,1,0,0,0,0,M,Disorderly Conduct,0,Female-Caucasian
0,56,Greater than 45,1,0,0,0,1,F,Resist Officer w/Violence,0,Female-Caucasian
1,30,25 - 45,0,0,2,2,11,F,Strong Armed  Robbery,0,Male-African-American
1,29,25 - 45,0,0,0,0,2,M,Driving License Suspended,0,Male-African-American
0,24,Less than 25,0,0,0,0,0,F,Felony Batt(Great Bodily Harm),0,Female-African-American
0,70,Greater than 45,0,0,0,0,1,F,arrest case no charge,0,Female-African-American
0,45,Greater than 45,1,0,0,0,1,M,Battery,0,Female-Caucasian
0,33,25 - 45,0,0,0,0,2,M,Viol Prot Injunc Repeat Viol,0,Female-Hispanic
0,39,25 - 45,0,0,1,0,6,F,Grand Theft in the 3rd Degree,0,Female-African-American
1,25,25 - 45,1,0,1,0,6,F,arrest case no charge,0,Male-Caucasian
1,48,Greater than 45,0,0,0,0,1,M,DUI Level 0.15 Or Minor In Veh,0,Male-Hispanic
1,46,Greater than 45,1,0,0,0,0,F,Cruelty Toward Child,0,Male-Caucasian
1,28,25 - 45,1,0,0,0,0,M,Battery,1,Male-Caucasian
1,27,25 - 45,0,0,0,0,1,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,43,25 - 45,1,0,0,0,11,F,Felony DUI (level 3),1,Male-Caucasian
1,29,25 - 45,1,0,0,0,1,F,Possession of Cocaine,0,Male-Caucasian
0,20,Less than 25,1,0,0,0,0,F,Possession of Cocaine,0,Female-Caucasian
1,29,25 - 45,0,0,0,0,0,F,Felony Battery (Dom Strang),0,Male-African-American
1,67,Greater than 45,0,0,0,0,0,M,Battery,0,Male-Asian
1,25,25 - 45,0,0,0,0,0,F,Child Abuse,0,Male-Other
1,24,Less than 25,0,0,2,1,8,F,arrest case no charge,1,Male-African-American
1,29,25 - 45,0,0,0,0,3,F,Uttering a Forged Instrument,0,Male-Other
1,45,Greater than 45,0,0,0,0,2,M,Carry Open/Uncov Bev In Pub,0,Male-African-American
1,61,Greater than 45,1,0,0,0,0,M,Driving Under The Influence,0,Male-Caucasian
1,32,25 - 45,0,0,0,0,1,F,Robbery W/Firearm,0,Male-Other
1,43,25 - 45,1,0,0,0,9,F,Possession of Hydrocodone,0,Male-Caucasian
1,32,25 - 45,0,0,0,0,0,M,Battery,0,Male-Other
1,36,25 - 45,0,0,0,0,0,F,Felony Driving While Lic Suspd,0,Male-African-American
1,57,Greater than 45,0,0,0,0,12,F,Possession of Cocaine,0,Male-African-American
1,37,25 - 45,0,0,0,0,2,F,Possession Of Alprazolam,0,Male-African-American
1,44,25 - 45,0,0,0,0,6,F,arrest case no charge,0,Male-African-American
1,45,Greater than 45,0,0,0,0,8,F,arrest case no charge,1,Male-African-American
1,48,Greater than 45,0,0,0,0,1,F,arrest case no charge,0,Male-Other
1,25,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,Male-African-American
1,43,25 - 45,0,0,0,0,1,F,arrest case no charge,0,Male-African-American
1,30,25 - 45,0,0,0,0,0,M,Battery,0,Male-African-American
1,50,Greater than 45,1,0,0,0,0,M,Driving Under The Influence,0,Male-Caucasian
0,31,25 - 45,0,0,0,0,2,F,Grand Theft (Motor Vehicle),0,Female-African-American
0,33,25 - 45,1,0,0,0,7,M,Battery,0,Female-Caucasian
1,32,25 - 45,0,0,0,0,1,F,False Ownership Info/Pawn Item,1,Male-African-American
1,22,Less than 25,0,0,0,0,0,F,Crimin Mischief Damage $1000+,0,Male-Hispanic
1,21,Less than 25,1,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,0,Male-Caucasian
1,52,Greater than 45,0,0,0,0,2,F,arrest case no charge,0,Male-Other
1,49,Greater than 45,1,0,0,0,2,M,Battery,0,Male-Caucasian
1,22,Less than 25,0,0,0,0,0,F,Uttering a Forged Instrument,0,Male-African-American
1,45,Greater than 45,0,0,0,0,0,F,Grand Theft (Motor Vehicle),0,Male-Hispanic
1,28,25 - 45,0,0,0,0,5,M,Possess Cannabis/20 Grams Or Less,0,Male-African-American
1,21,Less than 25,0,0,0,0,1,F,Grand Theft in the 3rd Degree,1,Male-African-American
1,37,25 - 45,0,0,0,1,2,M,Exposes Culpable Negligence,0,Male-Hispanic
1,28,25 - 45,0,2,1,0,11,F,Fleeing Or Attmp Eluding A Leo,0,Male-African-American
1,24,Less than 25,0,0,0,0,1,F,Driving While License Revoked,0,Male-African-American
1,32,25 - 45,0,1,3,0,24,F,Driving While License Revoked,1,Male-African-American
0,24,Less than 25,0,0,0,0,1,F,Grand Theft in the 3rd Degree,0,Female-African-American
1,57,Greater than 45,0,0,0,0,19,F,Felony Driving While Lic Suspd,0,Male-African-American
1,21,Less than 25,0,0,0,0,0,M,Prowling/Loitering,0,Male-Other
1,28,25 - 45,1,0,0,0,0,F,Counterfeit Lic Plates/Sticker,0,Male-Caucasian
1,51,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,25,25 - 45,0,0,1,0,6,M,arrest case no charge,0,Male-African-American
1,19,Less than 25,1,0,0,0,0,M,Battery,1,Male-Caucasian
1,57,Greater than 45,0,0,0,0,27,M,arrest case no charge,0,Male-African-American
0,27,25 - 45,0,0,0,0,0,M,Battery,0,Female-African-American
1,66,Greater than 45,1,0,0,0,1,M,arrest case no charge,0,Male-Caucasian
1,21,Less than 25,1,0,0,0,0,F,arrest case no charge,0,Male-Caucasian
1,45,Greater than 45,1,0,0,0,1,F,Possession of Cocaine,0,Male-Caucasian
1,37,25 - 45,0,2,3,0,24,F,Burglary With Assault/battery,0,Male-African-American
1,64,Greater than 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,30,25 - 45,0,0,0,0,1,F,Deliver Cocaine,1,Male-African-American
1,61,Greater than 45,0,0,0,0,1,M,arrest case no charge,0,Male-African-American
0,49,Greater than 45,1,0,0,0,8,F,arrest case no charge,0,Female-Caucasian
1,23,Less than 25,0,0,0,0,0,F,Tampering With Physical Evidence,0,Male-African-American
1,21,Less than 25,1,0,0,0,0,F,Sale/Del Cannabis At/Near Scho,1,Male-Caucasian
1,26,25 - 45,0,0,0,1,7,M,Battery,0,Male-Hispanic
1,27,25 - 45,0,0,0,1,2,M,Possess Cannabis/20 Grams Or Less,0,Male-African-American
1,38,25 - 45,1,0,0,0,1,M,Battery,0,Male-Caucasian
1,26,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,23,Less than 25,1,0,0,1,2,F,Poss of Firearm by Convic Felo,0,Male-Caucasian
0,36,25 - 45,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Female-African-American
1,58,Greater than 45,1,0,0,0,1,F,arrest case no charge,0,Male-Caucasian
0,35,25 - 45,1,0,0,0,4,F,Felony Battery w/Prior Convict,0,Female-Caucasian
1,23,Less than 25,0,0,0,0,3,F,Burglary Unoccupied Dwelling,0,Male-African-American
1,40,25 - 45,1,0,0,0,1,F,Attempted Robbery  No Weapon,0,Male-Caucasian
1,31,25 - 45,0,0,0,0,3,F,Tamper With Witness/Victim/CI,0,Male-Hispanic
0,34,25 - 45,0,0,0,0,5,F,Live on Earnings of Prostitute,0,Female-Hispanic
0,26,25 - 45,0,0,0,0,3,F,Burglary With Assault/battery,0,Female-African-American
1,49,Greater than 45,0,0,0,0,1,F,Felony Battery (Dom Strang),0,Male-African-American
0,47,Greater than 45,0,0,0,0,0,M,Battery,0,Female-Hispanic
1,47,Greater than 45,0,0,0,0,6,F,Att Tamper w/Physical Evidence,0,Male-African-American
1,27,25 - 45,0,0,0,0,10,F,arrest case no charge,0,Male-African-American
0,52,Greater than 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,25,25 - 45,0,0,0,1,9,F,Driving While License Revoked,0,Male-African-American
1,51,Greater than 45,0,0,0,0,1,F,arrest case no charge,0,Male-African-American
0,29,25 - 45,0,0,0,0,1,M,Refuse to Supply DNA Sample,0,Female-African-American
1,46,Greater than 45,1,0,0,0,0,F,Stalking (Aggravated),0,Male-Caucasian
1,28,25 - 45,1,0,0,0,6,F,Grand Theft in the 3rd Degree,0,Male-Caucasian
1,57,Greater than 45,0,0,0,0,0,F,Felony Battery (Dom Strang),0,Male-African-American
1,23,Less than 25,0,0,0,0,2,F,Sel/Pur/Mfr/Del Control Substa,0,Male-Hispanic
1,27,25 - 45,0,0,0,0,3,F,arrest case no charge,0,Male-African-American
1,31,25 - 45,1,0,0,0,1,F,Grand Theft in the 3rd Degree,1,Male-Caucasian
1,37,25 - 45,0,0,0,0,8,F,Burglary Unoccupied Dwelling,0,Male-African-American
1,51,Greater than 45,0,0,0,0,0,F,Possession of Cocaine,1,Male-African-American
1,28,25 - 45,0,0,1,0,8,F,Resist Officer w/Violence,0,Male-African-American
1,56,Greater than 45,1,0,0,0,4,F,Possession of Cocaine,0,Male-Caucasian
1,26,25 - 45,1,0,0,0,7,F,Burglary Dwelling Occupied,1,Male-Caucasian
1,33,25 - 45,1,0,0,0,7,F,Felony Battery (Dom Strang),1,Male-Caucasian
1,23,Less than 25,1,0,0,3,0,M,Battery,0,Male-Caucasian
1,31,25 - 45,0,0,0,0,0,M,Poss Drugs W/O A Prescription,0,Male-African-American
1,31,25 - 45,0,0,0,0,0,M,Battery,0,Male-Other
1,19,Less than 25,0,1,0,0,1,F,arrest case no charge,0,Male-Hispanic
1,32,25 - 45,1,0,0,0,0,F,Aggravated Assault W/o Firearm,0,Male-Caucasian
1,66,Greater than 45,1,0,0,0,1,F,arrest case no charge,0,Male-Caucasian
0,40,25 - 45,0,0,0,0,0,F,Grand Theft in the 1st Degree,0,Female-African-American
1,59,Greater than 45,0,0,0,0,4,M,Battery,0,Male-African-American
1,27,25 - 45,0,0,0,0,3,M,Leave Accd/Attend Veh/Less $50,0,Male-African-American
1,22,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,58,Greater than 45,1,0,0,0,1,F,Fel Drive License Perm Revoke,0,Male-Caucasian
1,29,25 - 45,1,0,0,0,2,F,Grand Theft in the 3rd Degree,0,Male-Caucasian
1,27,25 - 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,Male-African-American
1,24,Less than 25,1,0,0,0,0,F,Possession Of Alprazolam,0,Male-Caucasian
0,35,25 - 45,1,0,1,0,3,F,Aggrav Battery w/Deadly Weapon,0,Female-Caucasian
1,30,25 - 45,0,1,0,0,5,F,Aggravated Assault W/dead Weap,1,Male-African-American
1,23,Less than 25,0,0,1,1,1,F,Possession Burglary Tools,0,Male-African-American
1,32,25 - 45,1,0,0,0,2,F,Possession Of Heroin,1,Male-Caucasian
1,22,Less than 25,1,0,0,0,2,F,arrest case no charge,0,Male-Caucasian
1,21,Less than 25,0,0,0,0,0,M,Battery,0,Male-African-American
0,43,25 - 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,29,25 - 45,0,0,0,0,0,F,Poss of Cocaine W/I/D/S 1000FT Park,0,Male-African-American
1,43,25 - 45,0,0,0,0,1,F,Robbery Sudd Snatch No Weapon,0,Male-African-American
1,25,25 - 45,0,0,0,0,1,F,arrest case no charge,0,Male-African-American
1,47,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
0,21,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Female-African-American
1,54,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,34,25 - 45,0,0,0,1,3,F,Lewd Act Presence Child 16-,1,Male-African-American
0,28,25 - 45,0,0,0,0,2,M,Battery,0,Female-African-American
1,54,Greater than 45,0,0,0,0,0,M,Soliciting For Prostitution,0,Male-African-American
1,34,25 - 45,0,0,0,0,2,F,Felony Driving While Lic Suspd,0,Male-African-American
1,22,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,51,Greater than 45,0,0,0,0,3,F,Felony Driving While Lic Suspd,0,Male-African-American
1,28,25 - 45,0,0,0,1,5,M,arrest case no charge,0,Male-African-American
1,43,25 - 45,1,0,0,0,4,M,Battery,0,Male-Caucasian
1,45,Greater than 45,0,0,0,0,1,M,Battery,0,Male-Hispanic
1,41,25 - 45,0,0,0,0,1,M,Aggrav Battery w/Deadly Weapon,0,Male-Hispanic
1,25,25 - 45,0,20,0,0,24,F,arrest case no charge,1,Male-Other
1,35,25 - 45,0,0,1,0,12,F,Aggravated Assault W/Dead Weap,0,Male-Hispanic
1,24,Less than 25,0,0,0,0,0,M,Battery,0,Male-Asian
1,28,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-Hispanic
1,29,25 - 45,0,0,1,0,13,F,Poss Pyrrolidinovalerophenone,1,Male-African-American
1,26,25 - 45,0,0,0,0,9,F,Drivg While Lic Suspd/Revk/Can,1,Male-African-American
1,31,25 - 45,0,0,0,0,0,M,Viol Prot Injunc Repeat Viol,0,Male-Other
1,28,25 - 45,1,0,0,0,0,F,"Deliver 3,4 Methylenediox",0,Male-Caucasian
1,44,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,42,25 - 45,0,0,0,0,7,M,Driving License Suspended,0,Male-African-American
1,39,25 - 45,0,0,0,0,5,F,Grand Theft in the 3rd Degree,0,Male-African-American
0,46,Greater than 45,0,0,0,0,2,F,Grand Theft in the 3rd Degree,0,Female-Hispanic
1,55,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
0,31,25 - 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,25,25 - 45,0,0,0,0,0,F,Poss Tetrahydrocannabinols,0,Male-African-American
1,32,25 - 45,1,0,0,2,6,M,Refuse Submit Blood/Breath Test,0,Male-Caucasian
1,36,25 - 45,0,0,0,0,2,F,Driving While License Revoked,0,Male-African-American
1,39,25 - 45,1,0,0,0,2,M,Driving Under The Influence,0,Male-Caucasian
0,26,25 - 45,0,0,0,0,0,M,Battery,0,Female-African-American
0,22,Less than 25,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,Female-Other
1,37,25 - 45,1,0,0,0,3,M,Driving Under The Influence,0,Male-Caucasian
1,41,25 - 45,1,0,0,0,9,M,Battery,0,Male-Caucasian
1,25,25 - 45,0,0,0,0,1,M,Battery,0,Male-African-American
1,58,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,44,25 - 45,0,2,0,0,19,M,Battery,1,Male-African-American
1,28,25 - 45,0,0,0,0,1,F,Aggrav Stalking After Injunctn,0,Male-African-American
1,54,Greater than 45,1,0,0,0,0,F,Agg Battery Grt/Bod/Harm,0,Male-Caucasian
1,43,25 - 45,1,0,0,0,0,M,DUI Property Damage/Injury,0,Male-Caucasian
1,31,25 - 45,0,0,0,0,5,M,Battery,0,Male-African-American
1,30,25 - 45,0,4,1,0,11,F,Pos Cannabis W/Intent Sel/Del,0,Male-African-American
1,24,Less than 25,0,0,0,0,0,M,Possess Drug Paraphernalia,0,Male-African-American
1,43,25 - 45,1,0,0,0,0,M,Susp Drivers Lic 1st Offense,0,Male-Caucasian
1,24,Less than 25,0,0,0,0,11,F,Solicit Deliver Cocaine,1,Male-Hispanic
1,23,Less than 25,0,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,0,Male-African-American
1,27,25 - 45,1,0,0,0,1,F,arrest case no charge,0,Male-Caucasian
1,66,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
0,36,25 - 45,1,0,0,1,3,F,Possession of Cocaine,0,Female-Caucasian
0,22,Less than 25,0,0,0,0,0,M,Battery,1,Female-African-American
1,25,25 - 45,0,0,0,1,1,F,Crimin Mischief Damage $1000+,0,Male-Hispanic
1,56,Greater than 45,0,0,0,0,4,F,Possession of Cocaine,0,Male-African-American
0,58,Greater than 45,0,0,0,0,3,M,arrest case no charge,0,Female-African-American
1,24,Less than 25,1,0,1,2,3,M,DUI Level 0.15 Or Minor In Veh,0,Male-Caucasian
1,22,Less than 25,0,0,0,0,0,F,Burglary Dwelling Armed,1,Male-African-American
1,39,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,23,Less than 25,1,0,0,0,0,M,Viol Pretrial Release Dom Viol,1,Male-Caucasian
1,39,25 - 45,0,0,0,0,6,F,Burglary Unoccupied Dwelling,0,Male-Other
1,25,25 - 45,0,0,0,0,0,F,Felony Battery,0,Male-African-American
1,26,25 - 45,0,0,0,0,6,F,arrest case no charge,0,Male-African-American
1,25,25 - 45,0,0,0,1,2,F,Possession Burglary Tools,0,Male-African-American
1,36,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,35,25 - 45,0,0,0,0,7,F,Resist Officer w/Violence,1,Male-African-American
1,22,Less than 25,0,0,0,0,2,F,Crim Use of Personal ID Info,1,Male-African-American
1,25,25 - 45,1,0,0,0,0,F,Aggravated Battery,0,Male-Caucasian
1,36,25 - 45,0,0,0,0,0,M,Operating W/O Valid License,0,Male-Hispanic
1,24,Less than 25,0,0,0,0,2,M,Susp Drivers Lic 1st Offense,1,Male-African-American
1,29,25 - 45,1,0,0,0,0,M,DUI Property Damage/Injury,0,Male-Caucasian
1,50,Greater than 45,1,0,0,0,8,F,DWI w/Inj Susp Lic / Habit Off,0,Male-Caucasian
1,27,25 - 45,0,0,0,0,0,M,Battery,0,Male-African-American
1,21,Less than 25,0,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,1,Male-Hispanic
1,58,Greater than 45,0,0,0,0,1,F,arrest case no charge,0,Male-African-American
1,27,25 - 45,0,0,0,0,4,F,"Deliver 3,4 Methylenediox",0,Male-African-American
0,31,25 - 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,24,Less than 25,0,0,0,0,3,M,arrest case no charge,0,Male-African-American
1,43,25 - 45,1,0,0,0,0,M,DUI- Enhanced,0,Male-Caucasian
1,23,Less than 25,0,0,0,0,0,F,Burglary Unoccupied Dwelling,0,Male-African-American
1,42,25 - 45,1,0,0,0,0,M,Driving Under The Influence,0,Male-Caucasian
