sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,sex-race
Male,44,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Male,42,25 - 45,African-American,0,0,0,7,M,Driving License Suspended,5,Medium,0,Male-African-American
Male,39,25 - 45,African-American,0,0,0,5,F,Grand Theft in the 3rd Degree,7,Medium,0,Male-African-American
Female,46,Greater than 45,Hispanic,0,0,0,2,F,Grand Theft in the 3rd Degree,1,Low,0,Female-Hispanic
Male,55,Greater than 45,Caucasian,0,0,0,0,M,Battery,5,Medium,0,Male-Caucasian
Female,31,25 - 45,Caucasian,0,0,0,0,M,Battery,9,High,0,Female-Caucasian
Male,25,25 - 45,African-American,0,0,0,0,F,Poss Tetrahydrocannabinols,2,Low,0,Male-African-American
Male,32,25 - 45,Caucasian,0,0,2,6,M,Refuse Submit Blood/Breath Test,7,Medium,0,Male-Caucasian
Male,36,25 - 45,African-American,0,0,0,2,F,Driving While License Revoked,5,Medium,0,Male-African-American
Male,39,25 - 45,Caucasian,0,0,0,2,M,Driving Under The Influence,4,Low,0,Male-Caucasian
Female,26,25 - 45,African-American,0,0,0,0,M,Battery,2,Low,0,Female-African-American
Female,22,Less than 25,Other,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,4,Low,0,Female-Other
Male,37,25 - 45,Caucasian,0,0,0,3,M,Driving Under The Influence,1,Low,0,Male-Caucasian
Male,41,25 - 45,Caucasian,0,0,0,9,M,Battery,6,Medium,0,Male-Caucasian
Male,25,25 - 45,African-American,0,0,0,1,M,Battery,3,Low,0,Male-African-American
Male,58,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Male,44,25 - 45,African-American,2,0,0,19,M,Battery,9,High,1,Male-African-American
Male,28,25 - 45,African-American,0,0,0,1,F,Aggrav Stalking After Injunctn,4,Low,0,Male-African-American
Male,54,Greater than 45,Caucasian,0,0,0,0,F,Agg Battery Grt/Bod/Harm,1,Low,0,Male-Caucasian
Male,43,25 - 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,4,Low,0,Male-Caucasian
Male,31,25 - 45,African-American,0,0,0,5,M,Battery,10,High,0,Male-African-American
Male,30,25 - 45,African-American,4,1,0,11,F,Pos Cannabis W/Intent Sel/Del,10,High,0,Male-African-American
Male,24,Less than 25,African-American,0,0,0,0,M,Possess Drug Paraphernalia,7,Medium,0,Male-African-American
Male,43,25 - 45,Caucasian,0,0,0,0,M,Susp Drivers Lic 1st Offense,1,Low,0,Male-Caucasian
Male,24,Less than 25,Hispanic,0,0,0,11,F,Solicit Deliver Cocaine,10,High,1,Male-Hispanic
Male,23,Less than 25,African-American,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,3,Low,0,Male-African-American
Male,27,25 - 45,Caucasian,0,0,0,1,F,arrest case no charge,9,High,0,Male-Caucasian
Male,66,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Female,36,25 - 45,Caucasian,0,0,1,3,F,Possession of Cocaine,4,Low,0,Female-Caucasian
Female,22,Less than 25,African-American,0,0,0,0,M,Battery,7,Medium,1,Female-African-American
Male,25,25 - 45,Hispanic,0,0,1,1,F,Crimin Mischief Damage $1000+,3,Low,0,Male-Hispanic
Male,56,Greater than 45,African-American,0,0,0,4,F,Possession of Cocaine,1,Low,0,Male-African-American
Female,58,Greater than 45,African-American,0,0,0,3,M,arrest case no charge,1,Low,0,Female-African-American
Male,24,Less than 25,Caucasian,0,1,2,3,M,DUI Level 0.15 Or Minor In Veh,5,Medium,0,Male-Caucasian
Male,22,Less than 25,African-American,0,0,0,0,F,Burglary Dwelling Armed,3,Low,1,Male-African-American
Male,39,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Male,23,Less than 25,Caucasian,0,0,0,0,M,Viol Pretrial Release Dom Viol,8,High,1,Male-Caucasian
Male,39,25 - 45,Other,0,0,0,6,F,Burglary Unoccupied Dwelling,5,Medium,0,Male-Other
Male,25,25 - 45,African-American,0,0,0,0,F,Felony Battery,8,High,0,Male-African-American
Male,26,25 - 45,African-American,0,0,0,6,F,arrest case no charge,6,Medium,0,Male-African-American
Male,25,25 - 45,African-American,0,0,1,2,F,Possession Burglary Tools,9,High,0,Male-African-American
Male,36,25 - 45,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low,0,Male-African-American
Male,35,25 - 45,African-American,0,0,0,7,F,Resist Officer w/Violence,4,Low,1,Male-African-American
Male,22,Less than 25,African-American,0,0,0,2,F,Crim Use of Personal ID Info,4,Low,1,Male-African-American
Male,25,25 - 45,Caucasian,0,0,0,0,F,Aggravated Battery,2,Low,0,Male-Caucasian
Male,36,25 - 45,Hispanic,0,0,0,0,M,Operating W/O Valid License,1,Low,0,Male-Hispanic
Male,24,Less than 25,African-American,0,0,0,2,M,Susp Drivers Lic 1st Offense,7,Medium,1,Male-African-American
Male,29,25 - 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,3,Low,0,Male-Caucasian
Male,50,Greater than 45,Caucasian,0,0,0,8,F,DWI w/Inj Susp Lic / Habit Off,3,Low,0,Male-Caucasian
Male,27,25 - 45,African-American,0,0,0,0,M,Battery,1,Low,0,Male-African-American
Male,21,Less than 25,Hispanic,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,5,Medium,1,Male-Hispanic
Male,58,Greater than 45,African-American,0,0,0,1,F,arrest case no charge,1,Low,0,Male-African-American
Male,27,25 - 45,African-American,0,0,0,4,F,"Deliver 3,4 Methylenediox",8,High,0,Male-African-American
Female,31,25 - 45,Caucasian,0,0,0,0,M,Battery,3,Low,0,Female-Caucasian
Male,24,Less than 25,African-American,0,0,0,3,M,arrest case no charge,7,Medium,0,Male-African-American
Male,43,25 - 45,Caucasian,0,0,0,0,M,DUI- Enhanced,1,Low,0,Male-Caucasian
Male,23,Less than 25,African-American,0,0,0,0,F,Burglary Unoccupied Dwelling,5,Medium,0,Male-African-American
Male,42,25 - 45,Caucasian,0,0,0,0,M,Driving Under The Influence,4,Low,0,Male-Caucasian
Male,30,25 - 45,African-American,0,3,0,18,M,Battery,10,High,0,Male-African-American
Male,29,25 - 45,African-American,0,0,0,1,F,False Imprisonment,9,High,0,Male-African-American
Male,26,25 - 45,Caucasian,0,0,1,3,M,Petit Theft $100- $300,4,Low,0,Male-Caucasian
Male,51,Greater than 45,African-American,0,0,0,5,M,Driving License Suspended,7,Medium,0,Male-African-American
Male,36,25 - 45,Other,0,0,0,0,M,Battery,1,Low,0,Male-Other
Male,62,Greater than 45,Hispanic,0,0,0,0,M,Battery,1,Low,0,Male-Hispanic
Male,35,25 - 45,African-American,0,0,0,1,M,Violation License Restrictions,2,Low,0,Male-African-American
Male,22,Less than 25,Caucasian,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",3,Low,0,Male-Caucasian
Male,40,25 - 45,African-American,0,0,0,0,F,Stalking (Aggravated),2,Low,0,Male-African-American
Male,36,25 - 45,African-American,0,0,0,2,F,Possession of Cocaine,2,Low,0,Male-African-American
Male,69,Greater than 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,Male-Caucasian
Male,27,25 - 45,African-American,0,1,0,1,F,Grand Theft in the 3rd Degree,4,Low,0,Male-African-American
Male,27,25 - 45,African-American,0,0,0,1,F,Throw Deadly Missile Into Veh,1,Low,0,Male-African-American
Female,24,Less than 25,African-American,0,0,0,6,M,arrest case no charge,6,Medium,0,Female-African-American
Male,42,25 - 45,Caucasian,0,0,0,0,F,Aggravated Assault w/Firearm,1,Low,0,Male-Caucasian
Male,25,25 - 45,Caucasian,0,0,0,1,F,Burglary Conveyance Unoccup,3,Low,0,Male-Caucasian
Male,25,25 - 45,African-American,0,0,0,0,F,Uttering a Forged Instrument,4,Low,0,Male-African-American
Male,22,Less than 25,African-American,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,3,Low,0,Male-African-American
Male,21,Less than 25,Caucasian,0,0,0,0,F,Burglary Structure Unoccup,4,Low,0,Male-Caucasian
Male,30,25 - 45,African-American,0,0,0,1,M,Battery,2,Low,0,Male-African-American
Male,46,Greater than 45,Caucasian,0,0,0,9,M,Battery,5,Medium,0,Male-Caucasian
Male,26,25 - 45,African-American,0,0,0,2,M,Battery,7,Medium,0,Male-African-American
Male,40,25 - 45,African-American,0,0,0,1,M,Battery,1,Low,0,Male-African-American
Male,34,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,4,Low,0,Male-Caucasian
Male,28,25 - 45,Hispanic,0,0,0,3,M,arrest case no charge,5,Medium,0,Male-Hispanic
Male,59,Greater than 45,Caucasian,0,0,0,3,M,Driving Under The Influence,1,Low,1,Male-Caucasian
Male,37,25 - 45,Native American,0,0,0,0,F,"Aggr Child Abuse-Torture,Punish",2,Low,0,Male-Native American
Male,50,Greater than 45,African-American,0,0,0,0,F,Aggravated Battery / Pregnant,1,Low,0,Male-African-American
Male,57,Greater than 45,African-American,0,0,0,8,F,Felony Battery w/Prior Convict,5,Medium,1,Male-African-American
Male,31,25 - 45,African-American,0,0,0,5,M,Assault,5,Medium,0,Male-African-American
Male,44,25 - 45,African-American,0,0,0,9,F,Grand Theft in the 3rd Degree,8,High,0,Male-African-American
Female,25,25 - 45,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,4,Low,0,Female-Caucasian
Male,51,Greater than 45,African-American,0,0,0,5,M,arrest case no charge,3,Low,0,Male-African-American
Male,57,Greater than 45,Caucasian,0,0,0,2,F,arrest case no charge,1,Low,0,Male-Caucasian
Male,55,Greater than 45,Caucasian,0,0,0,0,M,DUI - Enhanced,1,Low,0,Male-Caucasian
Female,42,25 - 45,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,Low,0,Female-African-American
Male,21,Less than 25,Other,0,0,0,0,F,Purchase Cannabis,4,Low,0,Male-Other
Female,24,Less than 25,Hispanic,0,0,0,0,M,Battery,4,Low,0,Female-Hispanic
Male,42,25 - 45,African-American,0,0,0,1,F,Tampering With Physical Evidence,4,Low,0,Male-African-American
Male,21,Less than 25,African-American,0,0,0,1,F,arrest case no charge,6,Medium,0,Male-African-American
Male,58,Greater than 45,Caucasian,0,0,0,0,M,DUI Blood Alcohol Above 0.20,1,Low,0,Male-Caucasian
Male,46,Greater than 45,African-American,0,0,0,2,F,Grand Theft in the 3rd Degree,9,High,0,Male-African-American
Male,35,25 - 45,African-American,0,0,0,4,M,Battery,5,Medium,0,Male-African-American
Male,42,25 - 45,African-American,0,0,0,2,F,Possession of Cocaine,5,Medium,0,Male-African-American
Male,32,25 - 45,African-American,0,0,1,8,F,Aggravated Battery / Pregnant,4,Low,0,Male-African-American
Male,31,25 - 45,Other,0,0,0,5,F,Grand Theft in the 3rd Degree,6,Medium,0,Male-Other
Female,33,25 - 45,African-American,0,0,0,1,M,Battery,1,Low,0,Female-African-American
Male,25,25 - 45,Caucasian,0,0,0,4,F,Robbery / No Weapon,4,Low,0,Male-Caucasian
Female,33,25 - 45,African-American,0,0,0,0,M,Battery,1,Low,0,Female-African-American
Male,21,Less than 25,Hispanic,0,0,0,1,F,arrest case no charge,5,Medium,0,Male-Hispanic
Male,56,Greater than 45,African-American,0,0,0,1,F,arrest case no charge,1,Low,0,Male-African-American
Male,38,25 - 45,Caucasian,0,0,0,0,M,Battery,3,Low,1,Male-Caucasian
Female,40,25 - 45,African-American,0,0,0,4,M,arrest case no charge,1,Low,0,Female-African-American
Male,28,25 - 45,African-American,0,0,1,4,F,Grand Theft in the 3rd Degree,4,Low,0,Male-African-American
Male,51,Greater than 45,African-American,0,0,0,0,M,Battery,1,Low,0,Male-African-American
Male,35,25 - 45,African-American,0,0,0,2,M,Battery,2,Low,0,Male-African-American
Male,61,Greater than 45,African-American,0,0,0,5,F,Possession of Cocaine,2,Low,0,Male-African-American
Male,25,25 - 45,African-American,0,0,0,0,F,Poss Unlaw Issue Driver Licenc,3,Low,0,Male-African-American
Male,26,25 - 45,African-American,0,0,0,0,M,Petit Theft,5,Medium,0,Male-African-American
Male,42,25 - 45,Caucasian,0,0,0,1,M,Battery,1,Low,0,Male-Caucasian
Female,25,25 - 45,African-American,0,0,0,1,F,Grand Theft in the 3rd Degree,4,Low,0,Female-African-American
Male,31,25 - 45,African-American,0,0,0,9,F,Poss of Methylethcathinone,7,Medium,0,Male-African-American
Male,35,25 - 45,Caucasian,0,0,1,1,F,Possession of Cocaine,2,Low,0,Male-Caucasian
Male,34,25 - 45,Caucasian,0,0,0,0,F,Lewd/Lasc Battery Pers 12+/<16,1,Low,0,Male-Caucasian
Female,33,25 - 45,Caucasian,0,0,0,1,M,Battery,2,Low,0,Female-Caucasian
Male,30,25 - 45,African-American,0,0,1,3,F,Carrying Concealed Firearm,2,Low,0,Male-African-American
Female,50,Greater than 45,African-American,0,0,0,7,M,Battery,4,Low,0,Female-African-American
Male,21,Less than 25,African-American,0,0,0,0,F,Burglary Dwelling Armed,5,Medium,0,Male-African-American
Female,23,Less than 25,African-American,0,0,0,0,M,Battery,4,Low,0,Female-African-American
Male,25,25 - 45,African-American,0,0,0,1,F,Burglary Conveyance Unoccup,6,Medium,0,Male-African-American
Female,24,Less than 25,Caucasian,0,0,0,1,F,arrest case no charge,5,Medium,0,Female-Caucasian
Male,60,Greater than 45,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low,0,Male-African-American
Male,30,25 - 45,African-American,0,0,0,2,F,arrest case no charge,2,Low,0,Male-African-American
Female,32,25 - 45,Other,0,0,0,0,M,Battery,1,Low,0,Female-Other
Male,46,Greater than 45,Caucasian,0,0,0,0,M,Driving Under The Influence,1,Low,0,Male-Caucasian
Male,21,Less than 25,Caucasian,0,0,1,0,M,Battery,4,Low,1,Male-Caucasian
Male,35,25 - 45,African-American,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,8,High,0,Male-African-American
Male,28,25 - 45,African-American,0,0,0,2,M,Resist/Obstruct W/O Violence,4,Low,0,Male-African-American
Male,46,Greater than 45,Caucasian,0,0,1,2,M,Possess Cannabis/20 Grams Or Less,4,Low,0,Male-Caucasian
Male,56,Greater than 45,African-American,0,0,0,1,F,arrest case no charge,2,Low,0,Male-African-American
Male,24,Less than 25,African-American,0,0,0,1,M,Battery,4,Low,1,Male-African-American
Female,33,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Female-Caucasian
Male,48,Greater than 45,Caucasian,0,0,0,2,M,arrest case no charge,8,High,0,Male-Caucasian
Male,25,25 - 45,Hispanic,0,0,0,0,F,Poss Contr Subst W/o Prescript,7,Medium,0,Male-Hispanic
Male,37,25 - 45,Hispanic,0,0,0,0,F,Tamper With Witness/Victim/CI,3,Low,1,Male-Hispanic
Female,43,25 - 45,Caucasian,0,0,0,7,F,Agg Battery Grt/Bod/Harm,8,High,0,Female-Caucasian
Male,32,25 - 45,Caucasian,0,0,0,0,F,Driving While License Revoked,3,Low,0,Male-Caucasian
Male,33,25 - 45,Other,0,0,0,3,F,arrest case no charge,7,Medium,0,Male-Other
Male,49,Greater than 45,Caucasian,0,0,0,4,F,Aggravated Assault w/Firearm,1,Low,0,Male-Caucasian
Male,24,Less than 25,Caucasian,0,0,0,0,F,Robbery W/Deadly Weapon,4,Low,0,Male-Caucasian
Male,26,25 - 45,African-American,0,0,0,1,F,Grand Theft (Motor Vehicle),9,High,0,Male-African-American
Male,42,25 - 45,Caucasian,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,2,Low,0,Male-Caucasian
Male,36,25 - 45,Hispanic,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low,0,Male-Hispanic
Male,29,25 - 45,Caucasian,0,0,1,7,M,Battery,7,Medium,1,Male-Caucasian
Male,39,25 - 45,Caucasian,0,0,0,0,M,Battery,3,Low,0,Male-Caucasian
Male,53,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Male,21,Less than 25,Other,0,0,0,0,F,Burglary Structure Unoccup,5,Medium,1,Male-Other
Male,41,25 - 45,African-American,0,0,0,4,F,Child Abuse,5,Medium,0,Male-African-American
Male,22,Less than 25,Caucasian,0,0,2,5,F,Possession Of Alprazolam,8,High,1,Male-Caucasian
Male,22,Less than 25,Caucasian,0,0,2,0,F,Grand Theft (Motor Vehicle),7,Medium,1,Male-Caucasian
Male,25,25 - 45,African-American,0,0,0,2,F,Pos Cannabis W/Intent Sel/Del,5,Medium,0,Male-African-American
Male,51,Greater than 45,Other,0,0,0,2,F,arrest case no charge,1,Low,0,Male-Other
Male,24,Less than 25,African-American,0,0,1,0,F,Possession of Cannabis,3,Low,0,Male-African-American
Male,37,25 - 45,African-American,0,0,0,4,F,arrest case no charge,4,Low,0,Male-African-American
Male,37,25 - 45,Caucasian,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,Low,0,Male-Caucasian
Female,27,25 - 45,Other,0,0,0,0,M,Battery,2,Low,0,Female-Other
Male,21,Less than 25,Other,0,0,0,0,F,Robbery / No Weapon,6,Medium,0,Male-Other
Male,35,25 - 45,African-American,0,0,0,1,F,Aggravated Battery / Pregnant,1,Low,1,Male-African-American
Female,24,Less than 25,Caucasian,0,0,0,0,F,Possession of Cocaine,8,High,0,Female-Caucasian
Male,49,Greater than 45,Caucasian,0,0,0,2,M,DUI Property Damage/Injury,1,Low,0,Male-Caucasian
Male,38,25 - 45,African-American,0,0,0,9,F,arrest case no charge,6,Medium,0,Male-African-American
Male,61,Greater than 45,Other,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,Male-Other
Female,30,25 - 45,African-American,0,0,0,0,M,Battery,2,Low,0,Female-African-American
Male,22,Less than 25,African-American,0,0,0,3,F,Battery on a Person Over 65,6,Medium,0,Male-African-American
Male,52,Greater than 45,Caucasian,0,0,0,0,M,Driving Under The Influence,1,Low,0,Male-Caucasian
Male,26,25 - 45,Caucasian,0,0,0,0,F,Aggravated Battery / Pregnant,2,Low,0,Male-Caucasian
Male,26,25 - 45,Other,0,0,0,0,M,Battery,4,Low,0,Male-Other
Male,29,25 - 45,African-American,0,0,0,4,F,arrest case no charge,8,High,0,Male-African-American
Male,26,25 - 45,Caucasian,0,0,0,2,F,D.U.I. Serious Bodily Injury,5,Medium,0,Male-Caucasian
Female,46,Greater than 45,African-American,0,0,0,4,F,arrest case no charge,4,Low,0,Female-African-American
Female,46,Greater than 45,African-American,0,0,0,0,F,Felony Driving While Lic Suspd,1,Low,0,Female-African-American
Male,29,25 - 45,African-American,0,0,0,12,F,Possession of Cocaine,10,High,1,Male-African-American
Male,41,25 - 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,1,Low,0,Male-Caucasian
Female,25,25 - 45,African-American,0,0,0,5,F,Poss Anti-Shoplifting Device,7,Medium,0,Female-African-American
Male,23,Less than 25,African-American,1,0,0,2,F,Deliver Cocaine,7,Medium,0,Male-African-American
Male,30,25 - 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,3,Low,0,Male-Caucasian
Male,34,25 - 45,Caucasian,0,0,0,1,F,arrest case no charge,6,Medium,0,Male-Caucasian
Male,52,Greater than 45,Caucasian,0,0,0,2,F,arrest case no charge,1,Low,0,Male-Caucasian
Male,51,Greater than 45,African-American,0,0,0,4,M,Susp Drivers Lic 1st Offense,2,Low,0,Male-African-American
Female,49,Greater than 45,Caucasian,0,0,0,1,F,arrest case no charge,1,Low,0,Female-Caucasian
Female,47,Greater than 45,Caucasian,0,0,0,0,F,Battery on Law Enforc Officer,1,Low,0,Female-Caucasian
Male,27,25 - 45,African-American,0,0,0,0,M,Battery,2,Low,0,Male-African-American
Male,21,Less than 25,African-American,0,0,0,0,F,Burglary Structure Unoccup,6,Medium,0,Male-African-American
Male,30,25 - 45,Caucasian,0,0,0,3,F,Crimin Mischief Damage $1000+,4,Low,1,Male-Caucasian
Male,70,Greater than 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,1,Low,0,Male-Caucasian
Male,38,25 - 45,African-American,0,0,0,15,F,Aggravated Assault w/Firearm,6,Medium,0,Male-African-American
Male,29,25 - 45,African-American,0,0,0,0,F,Crim Use of Personal ID Info,4,Low,0,Male-African-American
Male,38,25 - 45,Hispanic,0,0,0,3,F,Possession of Cocaine,4,Low,0,Male-Hispanic
Female,27,25 - 45,Caucasian,0,0,0,0,F,Possession of Cannabis,3,Low,0,Female-Caucasian
Male,44,25 - 45,Hispanic,0,0,0,0,M,Driving Under The Influence,1,Low,0,Male-Hispanic
Male,31,25 - 45,Caucasian,0,0,0,6,M,Battery,5,Medium,0,Male-Caucasian
Female,30,25 - 45,African-American,0,0,0,0,M,Battery,2,Low,0,Female-African-American
Male,40,25 - 45,African-American,0,0,0,3,F,Driving While License Revoked,2,Low,0,Male-African-American
Male,33,25 - 45,Caucasian,0,0,0,1,M,Susp Drivers Lic 1st Offense,3,Low,0,Male-Caucasian
Male,31,25 - 45,Hispanic,0,1,0,1,M,Possess Cannabis/20 Grams Or Less,3,Low,0,Male-Hispanic
Male,61,Greater than 45,Caucasian,0,0,0,1,M,DUI Property Damage/Injury,1,Low,0,Male-Caucasian
Male,30,25 - 45,Caucasian,0,0,0,2,F,Use Of 2 Way Device To Fac Fel,4,Low,0,Male-Caucasian
Male,62,Greater than 45,Caucasian,0,0,0,0,M,Assault,1,Low,0,Male-Caucasian
Male,48,Greater than 45,Caucasian,0,0,0,9,F,Grand Theft (Motor Vehicle),6,Medium,0,Male-Caucasian
Female,40,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,2,Low,0,Female-Caucasian
Male,24,Less than 25,Caucasian,0,0,0,0,F,Possession Of Methamphetamine,4,Low,0,Male-Caucasian
Male,63,Greater than 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,1,Low,0,Male-Caucasian
Male,33,25 - 45,African-American,0,0,0,4,F,Possession of Cocaine,10,High,0,Male-African-American
Male,51,Greater than 45,African-American,0,0,0,1,F,Neglect Child / No Bodily Harm,1,Low,0,Male-African-American
Male,39,25 - 45,Caucasian,0,0,0,3,F,arrest case no charge,1,Low,1,Male-Caucasian
Male,22,Less than 25,African-American,0,0,0,0,M,Petit Theft,6,Medium,0,Male-African-American
Male,59,Greater than 45,Caucasian,0,0,0,0,F,Possession of Cocaine,1,Low,0,Male-Caucasian
Male,38,25 - 45,African-American,0,5,0,37,M,arrest case no charge,7,Medium,1,Male-African-American
Male,23,Less than 25,African-American,0,0,0,2,F,arrest case no charge,6,Medium,0,Male-African-American
Male,38,25 - 45,African-American,0,0,0,2,F,Burglary Dwelling Assault/Batt,7,Medium,1,Male-African-American
Female,34,25 - 45,Caucasian,0,0,0,2,F,Possession of Cannabis,3,Low,0,Female-Caucasian
Male,31,25 - 45,African-American,0,0,0,1,F,Felony Battery (Dom Strang),1,Low,0,Male-African-American
Male,43,25 - 45,African-American,0,0,0,0,F,Deliver Cannabis,4,Low,0,Male-African-American
Male,40,25 - 45,African-American,0,0,0,1,F,arrest case no charge,1,Low,0,Male-African-American
Male,22,Less than 25,African-American,0,0,1,0,F,Uttering a Forged Instrument,3,Low,0,Male-African-American
Female,40,25 - 45,Other,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low,0,Female-Other
Female,45,Greater than 45,African-American,0,0,0,1,F,Aggrav Battery w/Deadly Weapon,4,Low,0,Female-African-American
Male,21,Less than 25,Caucasian,0,1,2,1,F,Burglary Conveyance Unoccup,8,High,0,Male-Caucasian
Male,35,25 - 45,Caucasian,0,0,0,6,F,Battery on a Person Over 65,5,Medium,1,Male-Caucasian
Male,52,Greater than 45,African-American,0,0,0,1,M,Viol Injunct Domestic Violence,1,Low,1,Male-African-American
Male,48,Greater than 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,Male-Caucasian
Male,48,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Male,47,Greater than 45,African-American,0,0,0,0,M,Battery,5,Medium,0,Male-African-American
Male,35,25 - 45,African-American,3,0,0,13,F,Possession of Cocaine,10,High,0,Male-African-American
Male,52,Greater than 45,African-American,0,0,0,2,F,arrest case no charge,1,Low,0,Male-African-American
Male,21,Less than 25,Caucasian,0,0,0,0,M,Battery,8,High,1,Male-Caucasian
Male,53,Greater than 45,Caucasian,0,0,0,1,M,Aggravated Assault W/Dead Weap,1,Low,0,Male-Caucasian
Male,22,Less than 25,African-American,0,0,0,0,M,Open Carrying Of Weapon,6,Medium,0,Male-African-American
Male,45,Greater than 45,African-American,0,0,0,1,F,arrest case no charge,3,Low,0,Male-African-American
Female,27,25 - 45,Caucasian,0,0,0,0,F,Burglary With Assault/battery,2,Low,0,Female-Caucasian
Male,25,25 - 45,Caucasian,0,0,0,0,M,Battery,2,Low,0,Male-Caucasian
Male,28,25 - 45,Caucasian,0,0,0,3,F,arrest case no charge,3,Low,0,Male-Caucasian
Male,36,25 - 45,African-American,0,0,0,3,M,Battery,2,Low,1,Male-African-American
Male,42,25 - 45,African-American,0,0,0,1,F,Possession of Cocaine,2,Low,0,Male-African-American
Female,33,25 - 45,Caucasian,0,0,0,2,F,Poss Contr Subst W/o Prescript,2,Low,0,Female-Caucasian
Female,42,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Female-Caucasian
Female,28,25 - 45,African-American,0,0,0,0,M,Battery,2,Low,0,Female-African-American
Male,27,25 - 45,African-American,0,0,0,25,F,arrest case no charge,10,High,1,Male-African-American
Female,21,Less than 25,Caucasian,0,0,0,0,F,Burglary Unoccupied Dwelling,6,Medium,0,Female-Caucasian
Male,36,25 - 45,Caucasian,0,0,0,0,F,Felony Battery (Dom Strang),1,Low,0,Male-Caucasian
Male,28,25 - 45,Caucasian,0,0,0,1,M,Battery,3,Low,0,Male-Caucasian
Male,34,25 - 45,African-American,0,0,0,3,F,Felony Driving While Lic Suspd,1,Low,0,Male-African-American
Female,25,25 - 45,African-American,0,0,0,1,F,Aggrav Battery w/Deadly Weapon,3,Low,0,Female-African-American
Male,21,Less than 25,African-American,0,1,0,1,M,Assault,8,High,0,Male-African-American
Male,48,Greater than 45,African-American,0,0,0,1,F,Hiring with Intent to Defraud,1,Low,0,Male-African-American
Male,37,25 - 45,Caucasian,0,0,0,1,M,Battery,2,Low,0,Male-Caucasian
Male,37,25 - 45,Caucasian,0,0,0,1,M,Battery,1,Low,1,Male-Caucasian
Male,39,25 - 45,Caucasian,0,0,0,1,F,Solicit Deliver Cocaine,3,Low,0,Male-Caucasian
Male,49,Greater than 45,Other,0,0,0,2,F,arrest case no charge,1,Low,0,Male-Other
Male,43,25 - 45,Caucasian,0,0,0,5,F,Burglary Structure Unoccup,5,Medium,0,Male-Caucasian
Male,53,Greater than 45,African-American,0,0,0,1,M,DUI Property Damage/Injury,2,Low,0,Male-African-American
Male,39,25 - 45,Caucasian,0,0,0,0,M,Viol Injunct Domestic Violence,1,Low,0,Male-Caucasian
Male,36,25 - 45,Caucasian,0,0,0,2,F,"Poss3,4 Methylenedioxymethcath",1,Low,0,Male-Caucasian
Female,24,Less than 25,African-American,0,0,0,1,F,arrest case no charge,9,High,0,Female-African-American
Male,35,25 - 45,Hispanic,0,0,0,0,M,Battery,2,Low,0,Male-Hispanic
Male,23,Less than 25,African-American,0,0,0,3,F,Tampering With Physical Evidence,7,Medium,0,Male-African-American
Male,26,25 - 45,African-American,0,0,0,2,F,Aggrav Battery w/Deadly Weapon,2,Low,0,Male-African-American
Female,30,25 - 45,African-American,0,3,2,14,F,Carrying Concealed Firearm,10,High,1,Female-African-American
Male,25,25 - 45,Caucasian,0,0,0,2,M,Driving Under The Influence,6,Medium,0,Male-Caucasian
