sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text
Female,35,25 - 45,African-American,0,0,0,6,F,arrest case no charge,2,Low
Male,42,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,26,25 - 45,Hispanic,0,0,0,4,F,Possession of Cannabis,6,Medium
Female,25,25 - 45,African-American,0,0,0,0,M,Resist/Obstruct W/O Violence,3,Low
Male,64,Greater than 45,Hispanic,0,0,0,1,F,Aggravated Assault,1,Low
Male,66,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low
Female,46,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,23,Less than 25,Caucasian,0,0,0,1,M,arrest case no charge,4,Low
Male,31,25 - 45,Other,0,0,0,1,F,arrest case no charge,2,Low
Female,21,Less than 25,Caucasian,0,0,0,0,F,Burglary Unoccupied Dwelling,7,Medium
Male,27,25 - 45,African-American,0,0,0,0,M,Battery,2,Low
Male,20,Less than 25,Hispanic,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,2,Low
Female,24,Less than 25,Caucasian,0,0,1,0,F,Burglary Unoccupied Dwelling,5,Medium
Male,31,25 - 45,African-American,0,0,0,3,M,Viol Pretrial Release Dom Viol,8,High
Male,27,25 - 45,African-American,0,0,0,3,M,Battery,7,Medium
Male,40,25 - 45,African-American,0,0,0,0,F,Aggravated Assault w/Firearm,2,Low
Male,22,Less than 25,African-American,0,0,0,11,F,Possession of Cocaine,10,High
Female,38,25 - 45,African-American,0,0,0,1,F,Robbery / No Weapon,1,Low
Male,36,25 - 45,Hispanic,0,0,0,1,M,Petit Theft $100- $300,10,High
Male,30,25 - 45,African-American,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,7,Medium
Male,27,25 - 45,Caucasian,0,0,0,6,F,arrest case no charge,6,Medium
Female,59,Greater than 45,Caucasian,0,0,0,0,M,Driving Under The Influence,1,Low
Male,37,25 - 45,Caucasian,0,0,0,2,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,28,25 - 45,African-American,0,0,0,5,M,Felony Battery (Dom Strang),7,Medium
Male,38,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,1,Low
Male,22,Less than 25,African-American,0,0,1,0,F,Att Burgl Unoccupied Dwel,8,High
Male,51,Greater than 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,28,25 - 45,African-American,0,0,0,10,F,Driving While License Revoked,3,Low
Male,55,Greater than 45,African-American,0,0,0,9,M,arrest case no charge,3,Low
Female,23,Less than 25,Caucasian,0,0,0,3,F,Poss Contr Subst W/o Prescript,10,High
Female,22,Less than 25,African-American,0,0,0,0,M,Failure To Pay Taxi Cab Charge,5,Medium
Female,19,Less than 25,Caucasian,0,0,0,2,F,Possession of Cocaine,10,High
Male,61,Greater than 45,African-American,0,0,0,15,F,Felony Petit Theft,6,Medium
Male,31,25 - 45,Hispanic,0,0,0,0,M,Operating W/O Valid License,2,Low
Male,20,Less than 25,African-American,0,1,1,4,F,arrest case no charge,9,High
Male,26,25 - 45,Caucasian,0,0,0,3,F,Burglary Conveyance Occupied,7,Medium
Male,27,25 - 45,Caucasian,0,0,0,5,M,Battery,9,High
Male,25,25 - 45,Caucasian,0,0,0,1,F,Aggravated Assault w/Firearm,5,Medium
Male,23,Less than 25,Caucasian,0,2,0,3,F,Manslaughter W/Weapon/Firearm,5,Medium
Male,38,25 - 45,African-American,0,0,0,0,F,Felony Battery (Dom Strang),1,Low
Male,22,Less than 25,Other,0,0,0,0,F,Grand Theft (Motor Vehicle),9,High
Male,21,Less than 25,African-American,0,0,1,0,F,Use Scanning Device to Defraud,3,Low
Female,22,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,8,High
Male,30,25 - 45,African-American,0,0,0,0,F,Burglary Unoccupied Dwelling,2,Low
Male,22,Less than 25,African-American,0,0,0,1,F,Burglary Structure Unoccup,4,Low
Male,38,25 - 45,Caucasian,0,0,0,1,F,Crimin Mischief Damage $1000+,1,Low
Male,31,25 - 45,African-American,0,0,0,23,F,Poss Pyrrolidinovalerophenone,10,High
Male,22,Less than 25,African-American,0,1,0,3,F,arrest case no charge,7,Medium
Male,35,25 - 45,African-American,0,0,1,1,M,Battery,9,High
Male,23,Less than 25,Hispanic,0,0,0,2,M,Possess Cannabis/20 Grams Or Less,6,Medium
Male,21,Less than 25,African-American,0,0,0,0,F,Obstruct Fire Equipment,5,Medium
Male,37,25 - 45,African-American,0,0,0,11,F,Aggravated Battery / Pregnant,4,Low
Male,54,Greater than 45,Other,0,0,0,0,F,Grand Theft (Motor Vehicle),1,Low
Female,31,25 - 45,African-American,0,0,0,0,M,Battery,1,Low
Male,46,Greater than 45,African-American,0,0,0,17,F,arrest case no charge,9,High
Male,22,Less than 25,African-American,0,0,1,3,F,arrest case no charge,9,High
Female,28,25 - 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,2,Low
Female,34,25 - 45,Caucasian,0,0,1,15,F,Grand Theft in the 3rd Degree,9,High
Male,27,25 - 45,African-American,0,0,0,3,F,Grand Theft in the 3rd Degree,4,Low
Male,48,Greater than 45,Caucasian,0,0,0,3,F,Grand Theft in the 3rd Degree,1,Low
Male,31,25 - 45,African-American,0,0,0,5,F,arrest case no charge,7,Medium
Male,36,25 - 45,African-American,0,1,0,4,M,Battery,5,Medium
Male,44,25 - 45,African-American,0,0,0,14,F,Felony Driving While Lic Suspd,8,High
Male,47,Greater than 45,Caucasian,0,0,0,2,F,Possession of Cocaine,5,Medium
Male,57,Greater than 45,African-American,0,0,0,20,F,Possession of Cocaine,7,Medium
Male,28,25 - 45,African-American,0,0,0,2,M,arrest case no charge,4,Low
Male,44,25 - 45,African-American,0,0,0,1,F,Unauth Poss ID Card or DL,1,Low
Male,46,Greater than 45,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low
Male,26,25 - 45,African-American,0,0,0,10,M,arrest case no charge,6,Medium
Male,27,25 - 45,African-American,0,1,0,10,F,Driving While License Revoked,8,High
Male,40,25 - 45,Caucasian,0,0,0,1,F,Manufacture Cannabis,2,Low
Female,60,Greater than 45,Caucasian,0,0,0,9,F,arrest case no charge,3,Low
Male,28,25 - 45,African-American,0,0,0,0,F,Felony Driving While Lic Suspd,1,Low
Male,23,Less than 25,Hispanic,0,0,0,0,M,Driving Under The Influence,4,Low
Male,23,Less than 25,African-American,0,0,0,0,F,False Ownership Info/Pawn Item,5,Medium
Male,50,Greater than 45,African-American,0,0,0,18,F,Driving While License Revoked,8,High
Male,45,Greater than 45,African-American,0,0,0,0,M,Driving Under The Influence,1,Low
Male,22,Less than 25,African-American,0,0,0,1,F,arrest case no charge,5,Medium
Male,62,Greater than 45,Caucasian,0,0,0,0,F,Battery on a Person Over 65,1,Low
Male,34,25 - 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,1,Low
Male,24,Less than 25,Hispanic,0,0,0,1,F,Burglary Structure Unoccup,10,High
Male,25,25 - 45,Caucasian,0,0,0,0,F,Felony Battery,2,Low
Male,68,Greater than 45,Caucasian,0,0,0,0,M,Disorderly Conduct,1,Low
Male,21,Less than 25,Caucasian,0,0,0,1,F,arrest case no charge,3,Low
Female,37,25 - 45,Hispanic,0,0,0,1,F,Grand Theft in the 3rd Degree,3,Low
Male,22,Less than 25,African-American,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,8,High
Male,42,25 - 45,Caucasian,0,0,0,1,F,arrest case no charge,1,Low
Male,22,Less than 25,Caucasian,0,1,1,1,F,arrest case no charge,4,Low
Female,36,25 - 45,African-American,0,0,0,4,F,Neglect Child / No Bodily Harm,10,High
Male,48,Greater than 45,African-American,0,0,0,2,F,Fel Drive License Perm Revoke,6,Medium
Male,23,Less than 25,African-American,0,0,1,6,F,Grand Theft in the 3rd Degree,9,High
Male,29,25 - 45,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,2,Low
Male,24,Less than 25,African-American,0,0,0,0,F,Battery on Law Enforc Officer,3,Low
Male,50,Greater than 45,African-American,0,0,0,11,F,Manufacture Cannabis,9,High
Male,34,25 - 45,African-American,0,1,0,10,F,arrest case no charge,7,Medium
Female,22,Less than 25,Caucasian,0,0,0,0,M,Leaving Acc/Unattended Veh,5,Medium
Male,30,25 - 45,Caucasian,0,0,0,22,F,Possession of Cocaine,5,Medium
Male,25,25 - 45,African-American,0,1,1,7,M,arrest case no charge,5,Medium
Male,39,25 - 45,African-American,0,4,0,10,M,arrest case no charge,9,High
Female,47,Greater than 45,African-American,0,0,0,19,F,Possession of Cocaine,10,High
Female,23,Less than 25,Other,0,0,0,0,M,Battery,10,High
Female,20,Less than 25,Caucasian,0,0,0,1,F,Burglary Unoccupied Dwelling,8,High
Female,23,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,2,Low
Male,27,25 - 45,Native American,0,0,0,3,M,DUI Level 0.15 Or Minor In Veh,7,Medium
Female,23,Less than 25,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,7,Medium
Male,26,25 - 45,African-American,0,0,1,5,F,Grand Theft (Motor Vehicle),7,Medium
Male,25,25 - 45,African-American,0,0,0,6,F,Burglary Unoccupied Dwelling,6,Medium
Male,23,Less than 25,Other,0,0,0,2,M,Driving Under The Influence,4,Low
Male,27,25 - 45,African-American,0,0,0,4,F,Pos Cannabis W/Intent Sel/Del,9,High
Male,29,25 - 45,African-American,0,0,0,1,M,Susp Drivers Lic 1st Offense,4,Low
Male,27,25 - 45,Other,0,0,0,1,F,Aggravated Assault W/Dead Weap,2,Low
Male,37,25 - 45,African-American,0,0,0,4,F,Driving While License Revoked,2,Low
Male,21,Less than 25,Caucasian,0,2,1,2,F,Grand Theft (Motor Vehicle),9,High
Male,22,Less than 25,Caucasian,0,0,0,0,F,Burglary Conveyance Unoccup,4,Low
Male,57,Greater than 45,African-American,0,0,0,11,F,Possession of Cocaine,6,Medium
Male,36,25 - 45,Other,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low
Female,37,25 - 45,African-American,0,0,0,3,F,Resist Officer w/Violence,7,Medium
Male,22,Less than 25,African-American,0,1,0,1,F,False Ownership Info/Pawn Item,9,High
Male,31,25 - 45,Caucasian,0,0,0,2,M,DUI Property Damage/Injury,3,Low
Male,32,25 - 45,African-American,0,0,1,22,F,arrest case no charge,9,High
Female,23,Less than 25,Other,0,0,0,0,M,Battery,4,Low
Male,63,Greater than 45,African-American,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,20,Less than 25,Caucasian,0,0,2,0,F,Grand Theft in the 3rd Degree,4,Low
Female,24,Less than 25,African-American,0,0,0,1,M,Battery,5,Medium
Female,36,25 - 45,African-American,0,0,0,1,M,Susp Drivers Lic 1st Offense,2,Low
Male,83,Greater than 45,Hispanic,0,0,0,0,M,Battery,1,Low
Male,36,25 - 45,African-American,0,0,0,3,F,Driving While License Revoked,2,Low
Male,39,25 - 45,African-American,0,0,0,0,F,Driving While License Revoked,3,Low
Male,29,25 - 45,Other,0,0,0,3,M,Driving Under The Influence,7,Medium
Male,24,Less than 25,African-American,0,0,1,0,F,Driving While License Revoked,3,Low
Male,26,25 - 45,Caucasian,0,0,0,8,F,arrest case no charge,4,Low
Male,32,25 - 45,African-American,0,0,0,0,M,Viol Prot Injunc Repeat Viol,5,Medium
Female,32,25 - 45,Caucasian,0,0,0,1,M,Battery,3,Low
Male,29,25 - 45,African-American,0,1,0,16,F,Possession of Cocaine,10,High
Female,37,25 - 45,Other,0,0,0,0,M,Battery,1,Low
Male,43,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,47,Greater than 45,Caucasian,0,0,0,2,F,Tamper With Witness/Victim/CI,4,Low
Female,23,Less than 25,African-American,0,0,0,1,F,arrest case no charge,3,Low
Male,39,25 - 45,Caucasian,0,0,0,2,M,Battery,2,Low
Male,35,25 - 45,African-American,0,0,0,13,F,Possession of Cocaine,8,High
Male,33,25 - 45,Other,0,0,0,0,F,arrest case no charge,1,Low
Male,21,Less than 25,Other,0,0,0,0,F,Grand Theft of a Fire Extinquisher,3,Low
Male,43,25 - 45,African-American,1,0,0,20,F,Driving While License Revoked,8,High
Male,25,25 - 45,African-American,0,1,1,3,F,Fighting/Baiting Animals,8,High
Male,48,Greater than 45,African-American,1,0,0,25,F,arrest case no charge,10,High
Male,22,Less than 25,African-American,0,0,1,1,M,Battery,7,Medium
Male,26,25 - 45,Caucasian,0,0,0,5,F,Possession of Cocaine,4,Low
Male,67,Greater than 45,African-American,0,0,0,4,M,Grand Theft in the 3rd Degree,7,Medium
Male,28,25 - 45,African-American,0,0,0,1,F,Possession of Cannabis,4,Low
Male,29,25 - 45,African-American,0,0,0,2,M,Battery,4,Low
Male,43,25 - 45,Other,0,0,0,3,F,Aggrav Battery w/Deadly Weapon,2,Low
Male,51,Greater than 45,Caucasian,0,0,0,0,F,Burglary Dwelling Occupied,1,Low
Male,20,Less than 25,African-American,0,0,1,1,M,Possess Cannabis/20 Grams Or Less,7,Medium
Male,26,25 - 45,Caucasian,0,0,0,4,M,Viol Injunct Domestic Violence,7,Medium
Female,39,25 - 45,Caucasian,0,0,0,1,M,Battery,2,Low
Male,21,Less than 25,African-American,0,0,1,1,F,arrest case no charge,8,High
Male,24,Less than 25,Caucasian,0,2,0,3,F,Driving While License Revoked,4,Low
Male,26,25 - 45,African-American,0,1,0,4,M,Battery,8,High
Male,48,Greater than 45,Caucasian,0,0,0,1,F,Possession of Cocaine,2,Low
Male,26,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,4,Low
Male,24,Less than 25,African-American,0,1,1,7,M,Battery,9,High
Female,21,Less than 25,Caucasian,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,5,Medium
Male,24,Less than 25,African-American,0,0,0,1,F,arrest case no charge,3,Low
Male,30,25 - 45,African-American,0,0,0,5,F,Deliver Cocaine,4,Low
Female,22,Less than 25,Caucasian,0,0,0,1,F,Possession Of Alprazolam,6,Medium
Male,25,25 - 45,African-American,0,0,0,0,F,Depriv LEO of Protect/Communic,9,High
Male,31,25 - 45,African-American,0,3,0,25,M,Resist/Obstruct W/O Violence,8,High
Male,39,25 - 45,African-American,0,0,0,13,F,Burglary Conveyance Unoccup,8,High
Male,46,Greater than 45,Other,0,0,0,0,F,Delivery of 5-Fluoro PB-22,1,Low
Female,26,25 - 45,African-American,0,0,0,1,M,Battery,2,Low
Male,22,Less than 25,Caucasian,0,1,0,1,F,Grand Theft in the 3rd Degree,8,High
Male,23,Less than 25,African-American,0,3,1,6,F,Burglary Conveyance Unoccup,10,High
Male,28,25 - 45,African-American,0,0,0,1,F,arrest case no charge,3,Low
Male,32,25 - 45,African-American,0,0,0,1,F,arrest case no charge,7,Medium
Male,24,Less than 25,Hispanic,0,0,0,3,F,Burglary Conveyance Unoccup,6,Medium
Male,32,25 - 45,African-American,0,0,0,4,F,arrest case no charge,5,Medium
Female,31,25 - 45,Caucasian,0,0,0,1,F,Possession of Cocaine,3,Low
Male,43,25 - 45,Hispanic,0,0,0,0,M,Battery,1,Low
Male,32,25 - 45,African-American,0,0,0,3,F,Burglary Unoccupied Dwelling,1,Low
Male,27,25 - 45,African-American,0,0,0,5,M,Expired DL More Than 6 Months,3,Low
Male,45,Greater than 45,Hispanic,0,0,0,0,M,Stalking,1,Low
Male,33,25 - 45,African-American,0,0,0,0,F,Felony Driving While Lic Suspd,2,Low
Female,28,25 - 45,Caucasian,0,0,1,3,M,Battery,4,Low
Female,53,Greater than 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,1,Low
Male,28,25 - 45,Hispanic,0,0,0,1,F,Possession Burglary Tools,2,Low
Male,39,25 - 45,African-American,0,0,1,6,M,Disorderly Conduct,7,Medium
Male,22,Less than 25,African-American,0,0,0,1,F,Possession of Cocaine,7,Medium
Male,46,Greater than 45,African-American,0,0,0,2,F,Grand Theft in the 3rd Degree,2,Low
Male,25,25 - 45,African-American,0,0,0,0,M,Battery,2,Low
Male,52,Greater than 45,Caucasian,0,0,0,1,F,arrest case no charge,5,Medium
Male,28,25 - 45,African-American,0,0,0,4,M,Battery,2,Low
Female,57,Greater than 45,Caucasian,0,0,0,1,F,Possession of Cocaine,1,Low
Male,49,Greater than 45,African-American,0,0,0,3,F,arrest case no charge,1,Low
Male,21,Less than 25,African-American,0,0,0,2,F,Possession of Cocaine,9,High
Male,32,25 - 45,African-American,0,0,0,19,F,Possession of Cocaine,10,High
Male,29,25 - 45,Caucasian,0,0,0,2,F,False Imprisonment,3,Low
Male,28,25 - 45,African-American,0,0,0,10,M,Battery,7,Medium
Male,27,25 - 45,African-American,0,0,0,1,F,arrest case no charge,2,Low
Female,69,Greater than 45,Hispanic,0,0,0,0,M,DUI - Enhanced,1,Low
Male,47,Greater than 45,Hispanic,0,0,0,0,M,Battery,1,Low
Female,27,25 - 45,Hispanic,0,0,0,0,M,Battery,2,Low
Male,32,25 - 45,African-American,0,0,0,14,F,Grand Theft (Motor Vehicle),9,High
Male,26,25 - 45,African-American,0,0,0,5,F,Felony Driving While Lic Suspd,10,High
Male,47,Greater than 45,Hispanic,0,0,0,0,M,Battery,4,Low
Male,25,25 - 45,Caucasian,0,0,0,1,F,Possession of Cocaine,5,Medium
Male,25,25 - 45,African-American,0,0,0,2,M,Battery,2,Low
Male,22,Less than 25,African-American,1,1,0,6,F,arrest case no charge,7,Medium
Female,26,25 - 45,Caucasian,0,0,0,0,F,Possession Of Alprazolam,6,Medium
Male,20,Less than 25,Caucasian,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,4,Low
Male,45,Greater than 45,African-American,0,0,0,0,F,Possession of Morphine,5,Medium
Male,33,25 - 45,African-American,0,0,0,7,F,Possession of Cocaine,7,Medium
Male,35,25 - 45,Caucasian,0,0,0,2,F,Child Abuse,1,Low
Male,41,25 - 45,Caucasian,0,0,0,5,F,Felony Driving While Lic Suspd,1,Low
Female,21,Less than 25,Caucasian,0,1,0,0,M,Driving Under The Influence,5,Medium
Female,21,Less than 25,Hispanic,0,0,0,0,M,Battery,7,Medium
Male,23,Less than 25,African-American,0,0,0,2,F,Pos Cannabis W/Intent Sel/Del,6,Medium
Male,36,25 - 45,African-American,0,0,0,5,M,Viol Injunct Domestic Violence,8,High
Male,54,Greater than 45,African-American,0,0,0,4,M,Battery,5,Medium
Male,22,Less than 25,Caucasian,0,0,0,2,M,Battery,5,Medium
Female,20,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,4,Low
Male,52,Greater than 45,African-American,0,0,0,6,M,Battery,1,Low
Female,23,Less than 25,African-American,0,0,0,6,M,Operating W/O Valid License,7,Medium
Male,35,25 - 45,African-American,0,0,0,1,M,arrest case no charge,1,Low
Male,32,25 - 45,Caucasian,0,0,0,8,F,Felony Petit Theft,9,High
Male,21,Less than 25,African-American,0,0,0,1,M,Battery,7,Medium
Male,25,25 - 45,Hispanic,0,0,0,0,F,Burglary Structure Unoccup,3,Low
Male,30,25 - 45,African-American,0,0,0,4,M,Battery,4,Low
Male,32,25 - 45,Caucasian,1,0,0,8,F,Burglary Dwelling Occupied,4,Low
Male,42,25 - 45,Caucasian,0,0,0,0,M,Lve/Scen/Acc/Veh/Prop/Damage,1,Low
Female,22,Less than 25,African-American,0,0,0,0,M,Battery,3,Low
Male,45,Greater than 45,Hispanic,0,0,0,2,F,Sex Battery Deft 18+/Vict 11-,1,Low
Male,29,25 - 45,African-American,0,0,0,0,M,Posses/Disply Susp/Revk/Frd DL,2,Low
Male,51,Greater than 45,African-American,0,0,0,17,M,DUI Blood Alcohol Above 0.20,4,Low
Male,45,Greater than 45,Hispanic,0,0,0,20,F,Driving While License Revoked,3,Low
Male,24,Less than 25,Caucasian,0,0,0,2,F,Possession Of Alprazolam,6,Medium
Male,23,Less than 25,African-American,0,0,0,2,M,Battery,7,Medium
Male,69,Greater than 45,Hispanic,0,0,0,0,M,Battery,1,Low
Male,21,Less than 25,Hispanic,0,0,1,1,F,arrest case no charge,5,Medium
Male,59,Greater than 45,Hispanic,0,0,0,1,M,License Suspended Revoked,1,Low
Male,39,25 - 45,African-American,0,0,0,1,F,arrest case no charge,6,Medium
Male,29,25 - 45,African-American,0,0,0,2,F,Burglary Conveyance Armed,6,Medium
Male,22,Less than 25,Hispanic,0,0,0,1,M,Battery,7,Medium
Male,44,25 - 45,Caucasian,0,0,0,6,F,Driving While License Revoked,3,Low
Male,31,25 - 45,African-American,0,0,0,0,F,Driving While License Revoked,10,High
Male,35,25 - 45,African-American,0,1,0,17,M,Battery,7,Medium
Male,27,25 - 45,African-American,0,0,0,11,M,arrest case no charge,10,High
Male,33,25 - 45,African-American,0,0,0,1,F,Tamper With Witness/Victim/CI,5,Medium
Male,60,Greater than 45,Caucasian,0,0,0,1,F,arrest case no charge,1,Low
Male,53,Greater than 45,Hispanic,0,0,0,0,M,Battery,1,Low
Male,51,Greater than 45,Hispanic,0,0,0,0,F,Live on Earnings of Prostitute,1,Low
Female,54,Greater than 45,African-American,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,Low
Male,24,Less than 25,Caucasian,1,2,0,3,M,Battery,4,Low
Male,55,Greater than 45,Hispanic,0,0,0,1,F,arrest case no charge,2,Low
Female,75,Greater than 45,African-American,0,0,0,5,F,arrest case no charge,1,Low
Male,36,25 - 45,African-American,0,0,0,16,F,Driving While License Revoked,5,Medium
Male,34,25 - 45,Other,0,0,0,0,F,Battery on Law Enforc Officer,2,Low
Male,46,Greater than 45,Caucasian,0,0,0,0,F,Leaving the Scene of Accident,1,Low
Male,27,25 - 45,African-American,0,0,0,1,F,arrest case no charge,2,Low
Male,28,25 - 45,African-American,0,0,0,3,M,Criminal Mischief Damage <$200,3,Low
Male,42,25 - 45,African-American,1,0,1,13,M,Prowling/Loitering,8,High
Male,59,Greater than 45,African-American,0,0,0,2,M,Driving Under The Influence,1,Low
Male,25,25 - 45,Other,0,0,0,1,F,Fraudulent Use of Credit Card,2,Low
Male,55,Greater than 45,Caucasian,0,0,0,2,F,Lewd or Lascivious Molestation,1,Low
Male,35,25 - 45,African-American,0,0,0,1,M,Petit Theft,10,High
Male,43,25 - 45,African-American,0,0,0,0,M,Battery,1,Low
Female,53,Greater than 45,Caucasian,0,0,0,0,M,Driving Under The Influence,1,Low
Female,21,Less than 25,African-American,0,0,0,0,M,Battery,5,Medium
Male,40,25 - 45,African-American,0,0,0,0,F,Felony Battery (Dom Strang),1,Low
Female,37,25 - 45,Caucasian,0,0,0,0,M,Lve/Scen/Acc/Veh/Prop/Damage,1,Low
Male,32,25 - 45,Caucasian,0,0,0,2,M,Battery,2,Low
Male,36,25 - 45,African-American,0,0,0,4,M,Battery,5,Medium
Male,22,Less than 25,Hispanic,0,0,0,0,M,Possess Drug Paraphernalia,3,Low
Female,26,25 - 45,African-American,0,0,0,4,F,Felony Driving While Lic Suspd,7,Medium
Male,47,Greater than 45,African-American,0,0,0,4,F,Possession of Cocaine,3,Low
Male,36,25 - 45,African-American,0,0,0,2,F,Crim Use of Personal ID Info,3,Low
Female,38,25 - 45,Caucasian,0,0,0,0,F,Child Abuse,1,Low
Male,35,25 - 45,Other,0,0,0,0,F,Grand Theft (Motor Vehicle),1,Low
Male,53,Greater than 45,Caucasian,0,0,0,0,F,Child Abuse,1,Low
Male,57,Greater than 45,African-American,0,0,0,19,F,Felony Battery w/Prior Convict,7,Medium
Male,26,25 - 45,African-American,0,0,0,0,F,Carrying Concealed Firearm,3,Low
Male,27,25 - 45,African-American,0,0,0,2,F,Agg Battery Grt/Bod/Harm,5,Medium
Female,49,Greater than 45,Caucasian,0,0,0,4,F,arrest case no charge,5,Medium
Male,47,Greater than 45,Caucasian,0,0,0,1,F,Possession of Cocaine,3,Low
Male,30,25 - 45,African-American,0,0,0,8,F,Possession of Cocaine,10,High
Male,34,25 - 45,African-American,0,0,0,1,F,Aggravated Assault W/dead Weap,1,Low
Male,45,Greater than 45,African-American,0,0,0,10,F,Aggrav Battery w/Deadly Weapon,3,Low
Male,38,25 - 45,Hispanic,0,0,0,0,F,Burglary Conveyance Unoccup,4,Low
Male,50,Greater than 45,Caucasian,0,0,0,2,M,Battery,1,Low
Male,29,25 - 45,Caucasian,0,0,0,1,M,Battery,6,Medium
Female,22,Less than 25,African-American,0,0,0,1,F,Grand Theft in the 3rd Degree,6,Medium
Male,47,Greater than 45,Hispanic,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,49,Greater than 45,African-American,0,0,0,1,F,Resist Officer w/Violence,3,Low
Male,59,Greater than 45,Caucasian,0,0,0,2,F,arrest case no charge,1,Low
Male,32,25 - 45,Caucasian,0,0,0,6,M,Battery,5,Medium
Male,24,Less than 25,African-American,0,0,2,1,M,Susp Drivers Lic 1st Offense,2,Low
Male,40,25 - 45,Hispanic,0,0,0,0,M,DUI - Enhanced,2,Low
Female,54,Greater than 45,Hispanic,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,27,25 - 45,African-American,0,0,1,9,F,arrest case no charge,10,High
Male,25,25 - 45,Caucasian,0,0,0,2,M,Opert With Susp DL 2nd Offens,8,High
Male,20,Less than 25,Caucasian,0,0,0,0,M,Battery,5,Medium
Male,37,25 - 45,African-American,2,0,0,18,M,Battery,9,High
Male,23,Less than 25,African-American,0,0,0,1,F,Unauth Poss ID Card or DL,6,Medium
Female,20,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,8,High
Female,24,Less than 25,Caucasian,0,0,0,2,F,arrest case no charge,7,Medium
Male,24,Less than 25,Hispanic,0,0,0,0,F,Felony Battery,6,Medium
Female,23,Less than 25,African-American,0,0,0,3,F,arrest case no charge,5,Medium
Male,25,25 - 45,Other,0,0,0,1,F,Burglary Unoccupied Dwelling,5,Medium
Female,22,Less than 25,Caucasian,0,0,0,0,M,Disorderly Conduct,3,Low
Female,32,25 - 45,Caucasian,0,0,0,1,F,Tamper With Witness/Victim/CI,2,Low
Male,25,25 - 45,African-American,0,0,0,0,M,Resist/Obstruct W/O Violence,3,Low
Male,24,Less than 25,African-American,0,0,0,0,F,Poss Unlaw Issue Driver Licenc,2,Low
Male,33,25 - 45,African-American,0,0,1,12,M,Battery,9,High
Male,37,25 - 45,Caucasian,0,0,0,0,M,Susp Drivers Lic 1st Offense,2,Low
Female,40,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,43,25 - 45,African-American,0,0,0,9,F,Felony Battery,6,Medium
Male,35,25 - 45,African-American,0,0,0,5,F,Driving While License Revoked,6,Medium
Male,25,25 - 45,African-American,0,1,0,11,F,Grand Theft in the 3rd Degree,9,High
Male,61,Greater than 45,African-American,0,0,0,1,F,Felony Driving While Lic Suspd,1,Low
Female,52,Greater than 45,African-American,0,0,0,1,F,Uttering a Forged Instrument,1,Low
Male,47,Greater than 45,African-American,0,0,0,5,F,arrest case no charge,4,Low
Male,37,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Female,24,Less than 25,African-American,0,0,0,0,F,Retail Theft $300 1st Offense,7,Medium
Male,20,Less than 25,Other,0,0,0,0,M,Burglary Dwelling Occupied,4,Low
Male,23,Less than 25,Caucasian,0,0,0,0,F,arrest case no charge,3,Low
Female,60,Greater than 45,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,7,Medium
Male,35,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Female,24,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,7,Medium
Male,30,25 - 45,Caucasian,0,0,0,0,M,Driving Under The Influence,1,Low
Male,35,25 - 45,Caucasian,0,0,0,4,F,Felony Driving While Lic Suspd,5,Medium
